Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Cluster1,GO:0009636,response to toxic substance,16/103,430/20876,3.47222959392055e-10,2.12500451147937e-07,1.4290966012873e-07,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G12580/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT4G12400/AT5G14730/AT5G42980/AT5G51440/AT5G52640/AT5G58940/AT5G62480,16
Cluster1,GO:0006979,response to oxidative stress,16/103,486/20876,2.03538164771853e-09,6.22826784201869e-07,4.18860118030497e-07,AT1G14870/AT1G15520/AT1G19020/AT1G62380/AT1G72520/AT2G21640/AT3G01420/AT3G08040/AT3G12580/AT3G13610/AT3G25250/AT4G12400/AT5G42980/AT5G51440/AT5G52640/AT5G58940,16
Cluster1,GO:0010583,response to cyclopentenone,9/103,148/20876,5.0457350007162e-08,8.60909076731609e-06,5.78973940492018e-06,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G47780/AT4G01870/AT5G14730/AT5G62480,9
Cluster1,GO:0000302,response to reactive oxygen species,12/103,318/20876,5.62685671066411e-08,8.60909076731609e-06,5.78973940492018e-06,AT1G15520/AT1G62380/AT1G72520/AT3G01420/AT3G08040/AT3G12580/AT3G13610/AT4G12400/AT5G42980/AT5G51440/AT5G52640/AT5G58940,12
Cluster1,GO:0009407,toxin catabolic process,10/103,211/20876,9.36013644876361e-08,1.14568070132867e-05,7.70487021361384e-06,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT5G14730/AT5G62480,10
Cluster1,GO:0009404,toxin metabolic process,10/103,223/20876,1.56837263111826e-07,1.55252116287977e-05,1.04409317971447e-05,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT5G14730/AT5G62480,10
Cluster1,GO:0098754,detoxification,10/103,226/20876,1.77575950002588e-07,1.55252116287977e-05,1.04409317971447e-05,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT5G14730/AT5G62480,10
Cluster1,GO:0009627,systemic acquired resistance,13/103,446/20876,3.03384377784608e-07,2.32089049005225e-05,1.56083278570765e-05,AT1G15520/AT1G19020/AT1G19250/AT2G26560/AT3G01420/AT3G07720/AT3G13100/AT3G26210/AT3G28510/AT5G06860/AT5G24930/AT5G40010/AT5G58940,13
Cluster1,GO:0035690,cellular response to drug,11/103,390/20876,3.60129407918639e-06,0.000244887997384674,0.000164690758475073,AT1G15520/AT1G19020/AT1G62380/AT2G26560/AT3G01420/AT3G08040/AT3G13610/AT3G28510/AT5G06860/AT5G24930/AT5G40010,11
Cluster1,GO:0055080,cation homeostasis,10/103,319/20876,4.0529254219375e-06,0.000248039035822575,0.000166809877892375,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0050801,ion homeostasis,10/103,343/20876,7.66965763733745e-06,0.00042671186127732,0.000286969965186502,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0030003,cellular cation homeostasis,9/103,282/20876,1.0918405742631e-05,0.00055683869287418,0.000374482161874448,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0006873,cellular ion homeostasis,9/103,291/20876,1.40227935100591e-05,0.000660149971396628,0.000443960507079603,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0055082,cellular chemical homeostasis,9/103,300/20876,1.78510765873958e-05,0.000780347062249016,0.000524794807945244,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0016999,antibiotic metabolic process,11/103,470/20876,2.07506721868656e-05,0.000783627107375102,0.000527000686246413,AT1G15520/AT1G66200/AT2G26560/AT3G07720/AT3G09940/AT3G13100/AT3G14940/AT3G28510/AT5G24930/AT5G40010/AT5G58940,11
Cluster1,GO:0046686,response to cadmium ion,11/103,470/20876,2.07506721868656e-05,0.000783627107375102,0.000527000686246413,AT1G23190/AT1G62380/AT1G62480/AT1G66200/AT2G26560/AT2G41380/AT3G12580/AT3G44300/AT4G21680/AT4G34870/AT5G65140,11
Cluster1,GO:0048878,chemical homeostasis,10/103,387/20876,2.17674196493084e-05,0.000783627107375102,0.000527000686246413,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0019725,cellular homeostasis,9/103,317/20876,2.75412812953529e-05,0.000936403564041998,0.000629745086928829,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0098771,inorganic ion homeostasis,8/103,248/20876,3.18825388129199e-05,0.00102695335544774,0.000690641145476548,AT1G18970/AT1G23190/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G41610,8
Cluster1,GO:0009611,response to wounding,9/103,335/20876,4.23470699282098e-05,0.00129582033980322,0.000871458123259475,AT1G01720/AT1G19020/AT1G62380/AT1G72520/AT3G09940/AT3G13610/AT3G19710/AT3G25250/AT4G12030,9
Cluster1,GO:0034614,cellular response to reactive oxygen species,4/103,41/20876,4.91833252956917e-05,0.00137818812764579,0.00092685166479103,AT1G62380/AT3G01420/AT3G08040/AT3G13610,4
Cluster1,GO:0042542,response to hydrogen peroxide,7/103,194/20876,5.01361388069184e-05,0.00137818812764579,0.00092685166479103,AT3G12580/AT3G13610/AT4G12400/AT5G42980/AT5G51440/AT5G52640/AT5G58940,7
Cluster1,GO:0006875,cellular metal ion homeostasis,7/103,195/20876,5.17946518559693e-05,0.00137818812764579,0.00092685166479103,AT1G18970/AT1G23190/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380,7
Cluster1,GO:0035725,sodium ion transmembrane transport,4/103,42/20876,5.4155172169316e-05,0.00138095689031756,0.000928713698166779,AT4G12030/AT5G17860/AT5G41610/AT5G45380,4
Cluster1,GO:0050832,defense response to fungus,9/103,351/20876,6.06945146453178e-05,0.00148580171851738,0.000999223377950285,AT1G15520/AT1G19020/AT1G19250/AT1G61560/AT2G26560/AT3G01420/AT5G06860/AT5G42980/AT5G64810,9
Cluster1,GO:0071236,cellular response to antibiotic,9/103,364/20876,8.01690669394825e-05,0.00188705649872936,0.00126907308394079,AT1G15520/AT1G19020/AT2G26560/AT3G01420/AT3G13610/AT3G28510/AT5G06860/AT5G24930/AT5G40010,9
Cluster1,GO:0042592,homeostatic process,10/103,468/20876,0.000106891591421816,0.00242287607222783,0.00162941958073802,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0009753,response to jasmonic acid,10/103,474/20876,0.000118633271983493,0.00257292396773948,0.00173032898415228,AT1G01720/AT1G15520/AT1G72520/AT2G26560/AT3G09940/AT4G12030/AT5G06860/AT5G24930/AT5G47220/AT5G64810,10
Cluster1,GO:0071732,cellular response to nitric oxide,3/103,20/20876,0.000125098293312412,0.00257292396773948,0.00173032898415228,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0034599,cellular response to oxidative stress,4/103,52/20876,0.000126123723908798,0.00257292396773948,0.00173032898415228,AT1G62380/AT3G01420/AT3G08040/AT3G13610,4
Cluster1,GO:0055065,metal ion homeostasis,7/103,227/20876,0.000134035576700345,0.00261067506257669,0.0017557171473469,AT1G18970/AT1G23190/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380,7
Cluster1,GO:0001666,response to hypoxia,5/103,100/20876,0.000137689586671747,0.00261067506257669,0.0017557171473469,AT1G19250/AT2G26560/AT3G28510/AT5G25250/AT5G40010,5
Cluster1,GO:0071731,response to nitric oxide,3/103,21/20876,0.000145425413283885,0.00261067506257669,0.0017557171473469,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0097366,response to bronchodilator,3/103,21/20876,0.000145425413283885,0.00261067506257669,0.0017557171473469,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0000041,transition metal ion transport,7/103,231/20876,0.000149303312402262,0.00261067506257669,0.0017557171473469,AT1G18970/AT2G23150/AT3G01420/AT3G08040/AT3G14680/AT3G14940/AT5G06740,7
Cluster1,GO:0036293,response to decreased oxygen levels,5/103,103/20876,0.000158241478557493,0.00266069671221532,0.00178935743803955,AT1G19250/AT2G26560/AT3G28510/AT5G25250/AT5G40010,5
Cluster1,GO:0070482,response to oxygen levels,5/103,104/20876,0.000165587898068601,0.00266069671221532,0.00178935743803955,AT1G19250/AT2G26560/AT3G28510/AT5G25250/AT5G40010,5
Cluster1,GO:0006814,sodium ion transport,4/103,56/20876,0.000168544024893499,0.00266069671221532,0.00178935743803955,AT4G12030/AT5G17860/AT5G41610/AT5G45380,4
Cluster1,GO:0042742,defense response to bacterium,9/103,402/20876,0.000169554202249016,0.00266069671221532,0.00178935743803955,AT1G15520/AT1G19250/AT2G23150/AT2G26560/AT3G01420/AT5G47220/AT5G52640/AT5G53120/AT5G64810,9
Cluster1,GO:1902170,cellular response to reactive nitrogen species,3/103,23/20876,0.00019226155936225,0.00294160185824243,0.00197827025554315,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0071456,cellular response to hypoxia,3/103,24/20876,0.000218941207657565,0.00326809802649829,0.00219784370203101,AT1G19250/AT2G26560/AT5G25250,3
Cluster1,GO:0055076,transition metal ion homeostasis,6/103,176/20876,0.000239782175316778,0.00349396884033019,0.00234974512653785,AT1G18970/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380,6
Cluster1,GO:0009862,systemic acquired resistance, salicylic acid mediated signaling pathway,7/103,251/20876,0.000248260222500576,0.00353337805047332,0.00237624839651715,AT1G15520/AT1G19020/AT2G26560/AT3G28510/AT5G06860/AT5G24930/AT5G40010,7
Cluster1,GO:0036294,cellular response to decreased oxygen levels,3/103,26/20876,0.000279239932978584,0.00379766308850874,0.00255398394841231,AT1G19250/AT2G26560/AT5G25250,3
Cluster1,GO:0071453,cellular response to oxygen levels,3/103,26/20876,0.000279239932978584,0.00379766308850874,0.00255398394841231,AT1G19250/AT2G26560/AT5G25250,3
Cluster1,GO:0009723,response to ethylene,8/103,353/20876,0.000363789267456841,0.00483997894964318,0.00325495660356121,AT1G15520/AT1G62380/AT1G72520/AT2G26560/AT3G08040/AT3G09940/AT4G01870/AT5G47220,8
Cluster1,GO:0071446,cellular response to salicylic acid stimulus,8/103,355/20876,0.000377722609219569,0.00491843057111439,0.00330771646595412,AT1G15520/AT1G19020/AT2G26560/AT3G01420/AT3G28510/AT5G06860/AT5G24930/AT5G40010,8
Cluster1,GO:1901699,cellular response to nitrogen compound,3/103,30/20876,0.000429841617583705,0.00547057054570806,0.00367903867109022,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0010167,response to nitrate,6/103,197/20876,0.000438003197287083,0.00547057054570806,0.00367903867109022,AT1G12110/AT1G18970/AT3G01420/AT3G08040/AT3G14940/AT4G21680,6
Cluster1,GO:0072593,reactive oxygen species metabolic process,8/103,374/20876,0.000533106783794881,0.00627934979398091,0.00422295453981172,AT1G15520/AT1G66200/AT2G23150/AT2G26560/AT3G09940/AT3G28510/AT5G24930/AT5G40010,8
Cluster1,GO:2000377,regulation of reactive oxygen species metabolic process,6/103,205/20876,0.000540482905134074,0.00627934979398091,0.00422295453981172,AT1G15520/AT2G23150/AT2G26560/AT3G28510/AT5G24930/AT5G40010,6
Cluster1,GO:0009867,jasmonic acid mediated signaling pathway,7/103,286/20876,0.000543799900459131,0.00627934979398091,0.00422295453981172,AT1G15520/AT2G26560/AT3G09940/AT5G06860/AT5G24930/AT5G47220/AT5G64810,7
Cluster1,GO:0071395,cellular response to jasmonic acid stimulus,7/103,286/20876,0.000543799900459131,0.00627934979398091,0.00422295453981172,AT1G15520/AT2G26560/AT3G09940/AT5G06860/AT5G24930/AT5G47220/AT5G64810,7
Cluster1,GO:0006457,protein folding,7/103,290/20876,0.000590421602762382,0.006691444831307,0.00450009447719477,AT1G74250/AT3G12580/AT4G12400/AT4G34870/AT5G42980/AT5G51440/AT5G52640,7
Cluster1,GO:0071396,cellular response to lipid,8/103,381/20876,0.000601995985960563,0.00669857351650663,0.00450488862221206,AT1G01720/AT1G12010/AT1G15520/AT1G62380/AT3G09940/AT4G01870/AT4G36880/AT5G06860,8
Cluster1,GO:0009267,cellular response to starvation,7/103,294/20876,0.00064017070463439,0.00699615127207583,0.00470501401338433,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0055072,iron ion homeostasis,5/103,141/20876,0.000674175323887196,0.00723851400384147,0.00486800649381151,AT1G18970/AT2G23150/AT3G01420/AT3G08040/AT3G14940,5
Cluster1,GO:0071407,cellular response to organic cyclic compound,8/103,393/20876,0.0007367525185932,0.00777400933412135,0.00522813493230383,AT1G15520/AT1G19020/AT2G26560/AT3G01420/AT3G28510/AT5G06860/AT5G24930/AT5G40010,8
Cluster1,GO:0042594,response to starvation,7/103,302/20876,0.000749649293401293,0.00777602317901002,0.00522948927243364,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0031669,cellular response to nutrient levels,7/103,312/20876,0.000906815292172285,0.00924951598015731,0.00622043472349761,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0044550,secondary metabolite biosynthetic process,7/103,317/20876,0.000994590695708174,0.00989485228955949,0.00665443282631194,AT1G12110/AT1G62380/AT3G13610/AT3G19450/AT3G19710/AT4G12030/AT5G23010,7
Cluster1,GO:0046916,cellular transition metal ion homeostasis,5/103,154/20876,0.00100241967639328,0.00989485228955949,0.00665443282631194,AT1G18970/AT3G01420/AT3G08040/AT3G14940/AT3G63380,5
Cluster1,GO:0010200,response to chitin,8/103,421/20876,0.0011469606459682,0.0111419034179768,0.00749309294191419,AT1G01720/AT1G15520/AT1G19020/AT1G72520/AT2G26560/AT3G25250/AT3G63380/AT5G47220,8
Cluster1,GO:0071241,cellular response to inorganic substance,3/103,43/20876,0.00124723492052844,0.0119266839275532,0.00802086930800362,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0042743,hydrogen peroxide metabolic process,7/103,334/20876,0.00134418467890086,0.0126560157459589,0.0085113556186273,AT1G15520/AT1G66200/AT2G26560/AT3G09940/AT3G28510/AT5G24930/AT5G40010,7
Cluster1,GO:0031667,response to nutrient levels,7/103,335/20876,0.00136740276381305,0.0126795529008119,0.00852718469937642,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0010243,response to organonitrogen compound,8/103,443/20876,0.00158314769638093,0.0144609908982855,0.00972522779709257,AT1G01720/AT1G15520/AT1G19020/AT1G72520/AT2G26560/AT3G25250/AT3G63380/AT5G47220,8
Cluster1,GO:0015698,inorganic anion transport,6/103,256/20876,0.00170107627985395,0.0153096865186856,0.0102959880096423,AT1G12110/AT1G18970/AT3G01420/AT3G08040/AT3G14940/AT3G26570,6
Cluster1,GO:0031668,cellular response to extracellular stimulus,7/103,349/20876,0.00172665899474866,0.0153147145621186,0.0102993694423605,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0071496,cellular response to external stimulus,7/103,350/20876,0.0017548830957269,0.0153426922083552,0.0103181848184845,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0009863,salicylic acid mediated signaling pathway,7/103,353/20876,0.00184171563827946,0.0158750700088314,0.0106762166726059,AT1G15520/AT1G19020/AT2G26560/AT3G28510/AT5G06860/AT5G24930/AT5G40010,7
Cluster1,GO:0042537,benzene-containing compound metabolic process,6/103,261/20876,0.00187528359452029,0.0159399105534225,0.0107198228868046,AT1G15520/AT2G26560/AT3G07720/AT3G13100/AT5G17860/AT5G58940,6
Cluster1,GO:0010310,regulation of hydrogen peroxide metabolic process,5/103,186/20876,0.00230243745345539,0.0193026263221192,0.0129812984037643,AT1G15520/AT2G26560/AT3G28510/AT5G24930/AT5G40010,5
Cluster1,GO:0009751,response to salicylic acid,8/103,473/20876,0.00237984380176085,0.0196819514415898,0.0132364000922972,AT1G15520/AT1G19020/AT2G26560/AT3G01420/AT3G28510/AT5G06860/AT5G24930/AT5G40010,8
Cluster1,GO:0009991,response to extracellular stimulus,7/103,373/20876,0.00250921852052284,0.0204752231274664,0.0137698868985885,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0010106,cellular response to iron ion starvation,4/103,116/20876,0.00262170030260827,0.0211115866473193,0.0141978506692498,AT1G18970/AT3G01420/AT3G08040/AT3G14940,4
Cluster1,GO:0009692,ethylene metabolic process,4/103,119/20876,0.00287498257555354,0.021457187027302,0.0144302719774254,AT1G01480/AT1G12010/AT1G62380/AT5G47220,4
Cluster1,GO:0009693,ethylene biosynthetic process,4/103,119/20876,0.00287498257555354,0.021457187027302,0.0144302719774254,AT1G01480/AT1G12010/AT1G62380/AT5G47220,4
Cluster1,GO:0043449,cellular alkene metabolic process,4/103,119/20876,0.00287498257555354,0.021457187027302,0.0144302719774254,AT1G01480/AT1G12010/AT1G62380/AT5G47220,4
Cluster1,GO:0043450,alkene biosynthetic process,4/103,119/20876,0.00287498257555354,0.021457187027302,0.0144302719774254,AT1G01480/AT1G12010/AT1G62380/AT5G47220,4
Cluster1,GO:1900673,olefin metabolic process,4/103,119/20876,0.00287498257555354,0.021457187027302,0.0144302719774254,AT1G01480/AT1G12010/AT1G62380/AT5G47220,4
Cluster1,GO:1900674,olefin biosynthetic process,4/103,119/20876,0.00287498257555354,0.021457187027302,0.0144302719774254,AT1G01480/AT1G12010/AT1G62380/AT5G47220,4
Cluster1,GO:0006826,iron ion transport,4/103,120/20876,0.00296300070284874,0.0218476678330534,0.0146928760280768,AT1G18970/AT3G01420/AT3G08040/AT3G14940,4
Cluster1,GO:0035556,intracellular signal transduction,8/103,495/20876,0.00314243282880281,0.0228948677527062,0.0153971332839837,AT1G15520/AT1G72520/AT2G26560/AT3G47290/AT4G01870/AT5G06860/AT5G24930/AT5G47220,8
Cluster1,GO:0008219,cell death,8/103,496/20876,0.00318114556464837,0.0229042480654683,0.0154034416814553,AT1G15520/AT1G19250/AT1G61560/AT2G26560/AT3G01420/AT3G13610/AT5G06860/AT5G24930,8
Cluster1,GO:0009068,aspartate family amino acid catabolic process,2/103,18/20876,0.00350321484430491,0.0249298544734257,0.0167656916049354,AT1G08630/AT3G16150,2
Cluster1,GO:0015706,nitrate transport,5/103,206/20876,0.00357060068632988,0.0251173289659067,0.016891770941984,AT1G12110/AT1G18970/AT3G01420/AT3G08040/AT3G14940,5
Cluster1,GO:0006879,cellular iron ion homeostasis,4/103,127/20876,0.00363129060751977,0.0252539755886602,0.0169836677935434,AT1G18970/AT3G01420/AT3G08040/AT3G14940,4
Cluster1,GO:0051193,regulation of cofactor metabolic process,5/103,208/20876,0.00372030945780171,0.0255823526761196,0.0172045061856945,AT1G15520/AT2G26560/AT3G28510/AT5G24930/AT5G40010,5
Cluster1,GO:0009697,salicylic acid biosynthetic process,5/103,209/20876,0.0037968302669178,0.0258184458150411,0.0173632822732732,AT1G15520/AT2G26560/AT3G07720/AT3G13100/AT5G58940,5
Cluster1,GO:0070838,divalent metal ion transport,5/103,210/20876,0.00387447423408736,0.0260569036402359,0.0175236486469423,AT1G62480/AT1G66200/AT2G23150/AT3G63380/AT5G24930,5
Cluster1,GO:0072511,divalent inorganic cation transport,5/103,212/20876,0.00403316822589573,0.0268293364592194,0.0180431210105862,AT1G62480/AT1G66200/AT2G23150/AT3G63380/AT5G24930,5
Cluster1,GO:0046189,phenol-containing compound biosynthetic process,5/103,221/20876,0.00480529605148605,0.0316219482097792,0.0212662224802608,AT1G15520/AT2G26560/AT3G07720/AT3G13100/AT5G58940,5
Cluster1,GO:0009696,salicylic acid metabolic process,5/103,222/20876,0.00489712870750194,0.0318834337126722,0.0214420753038439,AT1G15520/AT2G26560/AT3G07720/AT3G13100/AT5G58940,5
Cluster1,GO:0005992,trehalose biosynthetic process,2/103,22/20876,0.00522169110044976,0.0336386837207922,0.0226225065958544,AT1G23190/AT5G65140,2
Cluster1,GO:0051606,detection of stimulus,4/103,144/20876,0.00566460255148984,0.0361118412657477,0.024285741202111,AT1G15520/AT1G23190/AT1G62380/AT2G26560,4
Cluster1,GO:0098662,inorganic cation transmembrane transport,4/103,149/20876,0.00638233080168397,0.0402679015528927,0.0270807525063313,AT4G12030/AT5G17860/AT5G41610/AT5G45380,4
Cluster1,GO:0018958,phenol-containing compound metabolic process,5/103,238/20876,0.00654133977014514,0.0408499993809064,0.0274722218058727,AT1G15520/AT2G26560/AT3G07720/AT3G13100/AT5G58940,5
Cluster1,GO:0005991,trehalose metabolic process,2/103,25/20876,0.00671651319940019,0.0414505871681667,0.0278761258733285,AT1G23190/AT5G65140,2
Cluster1,GO:0098655,cation transmembrane transport,4/103,152/20876,0.0068407014770994,0.0414505871681667,0.0278761258733285,AT4G12030/AT5G17860/AT5G41610/AT5G45380,4
Cluster1,GO:0098660,inorganic ion transmembrane transport,4/103,152/20876,0.0068407014770994,0.0414505871681667,0.0278761258733285,AT4G12030/AT5G17860/AT5G41610/AT5G45380,4
Cluster1,GO:0007568,aging,4/103,154/20876,0.00715809417260734,0.042948565035644,0.0288835378894682,AT1G69490/AT3G04070/AT5G17860/AT5G65380,4
Cluster1,GO:0009738,abscisic acid-activated signaling pathway,5/103,248/20876,0.00774644927340662,0.0460274461682024,0.0309541304639958,AT1G01720/AT1G15520/AT3G09940/AT4G01870/AT5G06860,5
Cluster1,GO:0006972,hyperosmotic response,5/103,250/20876,0.00800482133909073,0.0471052948031108,0.0316789994289927,AT1G01720/AT1G15520/AT1G62380/AT1G66200/AT3G09940,5
Cluster1,GO:0034976,response to endoplasmic reticulum stress,6/103,357/20876,0.00855732640939611,0.0498769882147659,0.0335430037701642,AT1G19020/AT3G12580/AT3G63380/AT4G12400/AT5G06860/AT5G51440,6
Cluster4,GO:0048574,long-day photoperiodism, flowering,3/11,24/20876,2.1894939572478e-07,2.8604477018583e-05,2.33025030174269e-05,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0048571,long-day photoperiodism,3/11,25/20876,2.48734582770287e-07,2.8604477018583e-05,2.33025030174269e-05,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0009639,response to red or far red light,4/11,411/20876,4.3787557958964e-05,0.00244098278176874,0.00198853517233334,AT1G01060/AT1G06040/AT2G40700/AT2G46830,4
Cluster4,GO:0048573,photoperiodism, flowering,3/11,164/20876,7.49925845175062e-05,0.00244098278176874,0.00198853517233334,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0009739,response to gibberellin,3/11,166/20876,7.77422765100364e-05,0.00244098278176874,0.00198853517233334,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0007623,circadian rhythm,3/11,171/20876,8.49037489310866e-05,0.00244098278176874,0.00198853517233334,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0009648,photoperiodism,3/11,171/20876,8.49037489310866e-05,0.00244098278176874,0.00198853517233334,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0048511,rhythmic process,3/11,171/20876,8.49037489310866e-05,0.00244098278176874,0.00198853517233334,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0042752,regulation of circadian rhythm,2/11,46/20876,0.000257967993568956,0.00659251539120664,0.00537056173745896,AT1G01060/AT2G46830,2
Cluster4,GO:0009723,response to ethylene,3/11,353/20876,0.000715129331462847,0.0164479746236455,0.0133992653684618,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0009733,response to auxin,3/11,424/20876,0.0012157654936272,0.0254205512303869,0.0207087328101092,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0010228,vegetative to reproductive phase transition of meristem,3/11,449/20876,0.00143389141186215,0.025689418018681,0.0209277638779186,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0046686,response to cadmium ion,3/11,470/20876,0.00163514610963765,0.025689418018681,0.0209277638779186,AT1G01060/AT1G06040/AT2G46830,3
Cluster4,GO:0009751,response to salicylic acid,3/11,473/20876,0.00166527594452172,0.025689418018681,0.0209277638779186,AT1G01060/AT2G46830/AT5G37260,3
Cluster4,GO:0009753,response to jasmonic acid,3/11,474/20876,0.00167539682730528,0.025689418018681,0.0209277638779186,AT1G01060/AT2G46830/AT5G37260,3
