Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,USeq
Agar,NP,P23Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c2,Plate1PhosphateC2,Agar_NP,Agar_NP_50P,16653,9.72034565935827,50,0.0251005824776317
Agar,NP,P86Plate2Phosphate,Pi,Rep2,50 micromolar Pi,a11,Plate2PhosphateA11,Agar_NP,Agar_NP_50P,4285,8.36287583103188,50,0.0457409568261377
Agar,NP,P44Plate2Phosphate,Pi,Rep1,50 micromolar Pi,d9,Plate2PhosphateD9,Agar_NP,Agar_NP_50P,3314,8.10591119798651,50,0.0196137598068799
Agar,NP,P1Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g3,Plate2PhosphateG3,Agar_NP,Agar_NP_50P,4787,8.47365918939251,50,0.0185920200543138
Agar,NP,P52Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g6,Plate2PhosphateG6,Agar_NP,Agar_NP_50P,4951,8.50734485536142,50,0.0258533629569784
Agar,NP,P37Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h7,Plate2PhosphateH7,Agar_NP,Agar_NP_50P,4114,8.3221510702129,50,0.0119105493437044
Agar,NP,P38Plate3Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate3PhosphateC1,Agar_NP,Agar_NP_50P,7680,8.94637482614172,50,0.0395833333333333
Agar,SC,P8Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b3,Plate1PhosphateB3,Agar_SC,Agar_SC_50P,18960,9.85008677580901,50,0.0419831223628692
Agar,SC,P32Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c3,Plate1PhosphateC3,Agar_SC,Agar_SC_50P,20134,9.91016520728937,50,0.026770636733883
Agar,SC,P6Plate2Phosphate,Pi,Rep2,50 micromolar Pi,f1,Plate2PhosphateF1,Agar_SC,Agar_SC_50P,3819,8.24774388722552,50,0.0748887143231212
Agar,SC,P11Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g4,Plate2PhosphateG4,Agar_SC,Agar_SC_50P,3236,8.08209327817838,50,0.0315203955500618
Agar,SC,P2Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h8,Plate2PhosphateH8,Agar_SC,Agar_SC_50P,5927,8.68727346178784,50,0.0177155390585456
Agar,SC,P35Plate3Phosphate,Pi,Rep1,50 micromolar Pi,h1,Plate3PhosphateH1,Agar_SC,Agar_SC_50P,5074,8.53188474015923,50,0.0502562081198266
Root,SC,P51Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate1PhosphateB12,Root_SC,Root_SC_50P,18787,9.8409204202673,50,0.0187363602491084
Root,SC,P40Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b5,Plate1PhosphateB5,Root_SC,Root_SC_50P,23344,10.0580952707626,50,0.012251542152159
Root,SC,P38Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate1PhosphateC1,Root_SC,Root_SC_50P,23515,10.0653937943791,50,0.0107165638953859
Root,SC,P82Plate1Phosphate,Pi,Rep2,50 micromolar Pi,d11,Plate1PhosphateD11,Root_SC,Root_SC_50P,18754,9.83916234197957,50,0.0139170310333795
Root,SC,P51Plate2Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate2PhosphateB12,Root_SC,Root_SC_50P,5261,8.56807640173081,50,0.0195780269910663
Root,SC,P72Plate2Phosphate,Pi,Rep1,50 micromolar Pi,g11,Plate2PhosphateG11,Root_SC,Root_SC_50P,4936,8.50431056558522,50,0.011547811993517
Shoot,SC,P31Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b2,Plate1PhosphateB2,Shoot_SC,Shoot_SC_50P,21554,9.97831669315678,50,0.0109956388605363
Shoot,SC,P36Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b8,Plate1PhosphateB8,Shoot_SC,Shoot_SC_50P,19741,9.89045297026567,50,0.0070411833240464
Shoot,SC,P67Plate1Phosphate,Pi,Rep2,50 micromolar Pi,e7,Plate1PhosphateE7,Shoot_SC,Shoot_SC_50P,28214,10.2475735876344,50,0.0159849719997165
Shoot,SC,P84Plate2Phosphate,Pi,Rep1,50 micromolar Pi,a7,Plate2PhosphateA7,Shoot_SC,Shoot_SC_50P,6431,8.76888532613486,50,0.00917431192660551
Shoot,SC,P36Plate2Phosphate,Pi,Rep2,50 micromolar Pi,b8,Plate2PhosphateB8,Shoot_SC,Shoot_SC_50P,8305,9.0246130220474,50,0.0110776640577965
Shoot,SC,P90Plate2Phosphate,Pi,Rep2,50 micromolar Pi,h11,Plate2PhosphateH11,Shoot_SC,Shoot_SC_50P,5531,8.61812390999468,50,0.00940155487253661
Agar,NP,P58Plate1Phosphate,Pi,Rep2,100 micromolar Pi,d8,Plate1PhosphateD8,Agar_NP,Agar_NP_100P,19246,9.86505852591635,100,0.0382417125636496
Agar,NP,P50Plate1Phosphate,Pi,Rep2,100 micromolar Pi,f8,Plate1PhosphateF8,Agar_NP,Agar_NP_100P,25513,10.1469434051622,100,0.026221926076902
Agar,NP,P72Plate1Phosphate,Pi,Rep2,100 micromolar Pi,g11,Plate1PhosphateG11,Agar_NP,Agar_NP_100P,14027,9.54873932271967,100,0.0253796250089114
Agar,NP,P38Plate2Phosphate,Pi,Rep1,100 micromolar Pi,c1,Plate2PhosphateC1,Agar_NP,Agar_NP_100P,4581,8.42967259388674,100,0.0266317397948046
Agar,NP,P54Plate2Phosphate,Pi,Rep1,100 micromolar Pi,e8,Plate2PhosphateE8,Agar_NP,Agar_NP_100P,8154,9.0062638833792,100,0.017046848172676
Agar,NP,P79Plate2Phosphate,Pi,Rep1,100 micromolar Pi,g7,Plate2PhosphateG7,Agar_NP,Agar_NP_100P,6497,8.77909581088053,100,0.0417115591811605
Agar,NP,P8Plate3Phosphate,Pi,Rep1,100 micromolar Pi,b3,Plate3PhosphateB3,Agar_NP,Agar_NP_100P,4327,8.37262974022488,100,0.0439103304830136
Agar,SC,P27Plate1Phosphate,Pi,Rep1,100 micromolar Pi,c7,Plate1PhosphateC7,Agar_SC,Agar_SC_100P,16105,9.6868850617653,100,0.0262030425333747
Agar,SC,P22Plate1Phosphate,Pi,Rep2,100 micromolar Pi,d7,Plate1PhosphateD7,Agar_SC,Agar_SC_100P,11917,9.38572123109081,100,0.0718301585969623
Agar,SC,P35Plate2Phosphate,Pi,Rep2,100 micromolar Pi,h1,Plate2PhosphateH1,Agar_SC,Agar_SC_100P,3203,8.07184314960916,100,0.0437090227911333
Agar,SC,P17Plate3Phosphate,Pi,Rep2,100 micromolar Pi,b4,Plate3PhosphateB4,Agar_SC,Agar_SC_100P,6244,8.73937628163532,100,0.0520499679692505
Agar,SC,P80Plate3Phosphate,Pi,Rep1,100 micromolar Pi,f4,Plate3PhosphateF4,Agar_SC,Agar_SC_100P,5915,8.68524677641249,100,0.0287404902789518
Agar,SC,P81Plate3Phosphate,Pi,Rep1,100 micromolar Pi,g1,Plate3PhosphateG1,Agar_SC,Agar_SC_100P,3047,8.02191277898571,100,0.0377420413521497
Root,SC,P86Plate1Phosphate,Pi,Rep1,100 micromolar Pi,a11,Plate1PhosphateA11,Root_SC,Root_SC_100P,19657,9.8861887879578,100,0.0099201302335046
Root,SC,P84Plate1Phosphate,Pi,Rep2,100 micromolar Pi,a7,Plate1PhosphateA7,Root_SC,Root_SC_100P,25780,10.1573542764932,100,0.0112878200155159
Root,SC,P70Plate1Phosphate,Pi,Rep2,100 micromolar Pi,c5,Plate1PhosphateC5,Root_SC,Root_SC_100P,15543,9.6513656554829,100,0.0140899440262498
Root,SC,P45Plate1Phosphate,Pi,Rep1,100 micromolar Pi,g12,Plate1PhosphateG12,Root_SC,Root_SC_100P,18233,9.81098841803921,100,0.00910437119508583
Root,SC,P56Plate2Phosphate,Pi,Rep2,100 micromolar Pi,e4,Plate2PhosphateE4,Root_SC,Root_SC_100P,5547,8.62101252005523,100,0.00973499188750676
Root,SC,P62Plate2Phosphate,Pi,Rep1,100 micromolar Pi,g10,Plate2PhosphateG10,Root_SC,Root_SC_100P,6804,8.82526595351575,100,0.00911228689006467
Shoot,SC,P26Plate1Phosphate,Pi,Rep2,100 micromolar Pi,h3,Plate1PhosphateH3,Shoot_SC,Shoot_SC_100P,15971,9.67852985665631,100,0.010644292780665
Shoot,SC,P70Plate2Phosphate,Pi,Rep1,100 micromolar Pi,c5,Plate2PhosphateC5,Shoot_SC,Shoot_SC_100P,4495,8.41072094690572,100,0.00845383759733037
Shoot,SC,P64Plate2Phosphate,Pi,Rep2,100 micromolar Pi,f3,Plate2PhosphateF3,Shoot_SC,Shoot_SC_100P,5590,8.62873456614915,100,0.00787119856887299
Shoot,SC,P95Plate2Phosphate,Pi,Rep2,100 micromolar Pi,g8,Plate2PhosphateG8,Shoot_SC,Shoot_SC_100P,2336,7.75619534394812,100,0.0102739726027397
Shoot,SC,P3Plate3Phosphate,Pi,Rep1,100 micromolar Pi,e1,Plate3PhosphateE1,Shoot_SC,Shoot_SC_100P,8112,9.00109972583097,100,0.00764299802761341
Shoot,SC,P6Plate3Phosphate,Pi,Rep1,100 micromolar Pi,f1,Plate3PhosphateF1,Shoot_SC,Shoot_SC_100P,7818,8.9641840463529,100,0.0097211563059606
Agar,NP,P35Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,h1,Plate1PhosphateH1,Agar_NP,Agar_NP_1000P,17438,9.76640701198776,1000,0.018178690216768
Agar,NP,P60Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,a4,Plate2PhosphateA4,Agar_NP,Agar_NP_1000P,4836,8.48384321173468,1000,0.00951199338296112
Agar,NP,P12Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,d4,Plate2PhosphateD4,Agar_NP,Agar_NP_1000P,4276,8.36077327214494,1000,0.0119270346117867
Agar,NP,P29Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,f5,Plate2PhosphateF5,Agar_NP,Agar_NP_1000P,5363,8.58727879898293,1000,0.0195785940704829
Agar,NP,P60Plate3Phosphate,Pi,Rep2,1000 micromolar Pi,a4,Plate3PhosphateA4,Agar_NP,Agar_NP_1000P,8019,8.98956900480703,1000,0.0197032048883901
Agar,NP,P23Plate3Phosphate,Pi,Rep1,1000 micromolar Pi,c2,Plate3PhosphateC2,Agar_NP,Agar_NP_1000P,7011,8.85523562320697,1000,0.0339466552560262
Agar,NP,P12Plate3Phosphate,Pi,Rep1,1000 micromolar Pi,d4,Plate3PhosphateD4,Agar_NP,Agar_NP_1000P,6000,8.69951474821019,1000,0.0333333333333333
Agar,NP,P94Plate3Phosphate,Pi,Rep1,1000 micromolar Pi,f2,Plate3PhosphateF2,Agar_NP,Agar_NP_1000P,6314,8.75052466911794,1000,0.0308837503959455
Agar,SC,P63Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,e6,Plate1PhosphateE6,Agar_SC,Agar_SC_1000P,18678,9.83510163966966,1000,0.039297569332905
Agar,SC,P20Plate1Phosphate,Pi,Rep2,1000 micromolar Pi,g9,Plate1PhosphateG9,Agar_SC,Agar_SC_1000P,13834,9.53488460916053,1000,0.0299262686135608
Agar,SC,P66Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,d5,Plate2PhosphateD5,Agar_SC,Agar_SC_1000P,3281,8.0959035329611,1000,0.0356598597988418
Agar,SC,P34Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,e10,Plate2PhosphateE10,Agar_SC,Agar_SC_1000P,4086,8.31532177537757,1000,0.0352422907488987
Agar,SC,P50Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,f8,Plate2PhosphateF8,Agar_SC,Agar_SC_1000P,1977,7.58933582317062,1000,0.0364188163884674
Agar,SC,P31Plate3Phosphate,Pi,Rep1,1000 micromolar Pi,b2,Plate3PhosphateB2,Agar_SC,Agar_SC_1000P,5677,8.64417820317073,1000,0.0354060243086137
Root,SC,P41Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,c6,Plate1PhosphateC6,Root_SC,Root_SC_1000P,20089,9.90792768056215,1000,0.00925879834735427
Root,SC,P85Plate1Phosphate,Pi,Rep2,1000 micromolar Pi,d3,Plate1PhosphateD3,Root_SC,Root_SC_1000P,23708,10.0735678229077,1000,0.0147629492154547
Root,SC,P44Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,d9,Plate1PhosphateD9,Root_SC,Root_SC_1000P,22004,9.99897953399535,1000,0.0108162152335939
Root,SC,P31Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,b2,Plate2PhosphateB2,Root_SC,Root_SC_1000P,6333,8.75352933651643,1000,0.00852676456655613
Root,SC,P13Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,h9,Plate2PhosphateH9,Root_SC,Root_SC_1000P,6352,8.75652500292697,1000,0.00928841309823678
Shoot,SC,P92Plate1Phosphate,Pi,Rep2,1000 micromolar Pi,b7,Plate1PhosphateB7,Shoot_SC,Shoot_SC_1000P,10867,9.29348595306285,1000,0.0108585626207785
Shoot,SC,P39Plate1Phosphate,Pi,Rep2,1000 micromolar Pi,c9,Plate1PhosphateC9,Shoot_SC,Shoot_SC_1000P,17704,9.78154588173089,1000,0.0203343877089923
Shoot,SC,P59Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,e3,Plate1PhosphateE3,Shoot_SC,Shoot_SC_1000P,18306,9.81498415394472,1000,0.00600895881131869
Shoot,SC,P17Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,b4,Plate2PhosphateB4,Shoot_SC,Shoot_SC_1000P,6170,8.72745411689943,1000,0.0053484602917342
Shoot,SC,P82Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,d11,Plate2PhosphateD11,Shoot_SC,Shoot_SC_1000P,4473,8.40581460343285,1000,0.00760116253074
Shoot,SC,P68Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,e9,Plate2PhosphateE9,Shoot_SC,Shoot_SC_1000P,5698,8.64787051505785,1000,0.00579150579150579
Shoot,SC,P20Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,g9,Plate2PhosphateG9,Shoot_SC,Shoot_SC_1000P,7555,8.92996487470684,1000,0.00357379219060225
