Plot,Plate,Well,row,column,Sample,Soil,Genotype,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Plot10,Plate1,A1,a,1,R16,low-4,phf1,Root,P4Plate1,Plate1_A1,low,Pot16,76013,11.2386596572722,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot1,Plate1,A2,a,2,R7,low-1,phr1/phl1,Root,P16Plate1,Plate1_A2,low,Pot7,78348,11.2689157209746,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot11,Plate1,A4,a,4,R22,medium-4,Col-0,Root,P60Plate1,Plate1_A4,medium,Pot22,59734,10.9976566515069,-1.88565971491648,-2.1383408922022,-0.934354744367669,-0.52867756563628,-0.73986981741134,-0.108262839727291,0.61297230399063,0.137032447721782,0.392182153689771,-0.124654931683718,0.1655203720937,0.00770919662223793,0.145498552707668
Plot15,Plate1,A8,a,8,R41,high-5,Col-0,Root,P89Plate1,Plate1_A8,high,Pot41,59685,10.9968360115291,5.96266901334953,0.14190029367594,0.0526767732472614,-0.661793850256411,-0.708226697398913,-1.18128188725226,0.09814806741803,0.542116316244908,-0.0995113952996787,0.171181083606662,0.0926205048396377,-0.0852334934751272,0.0450084905358562
Plot17,Plate1,A9,a,9,R30,medium-6,phr1/phl1,Root,P65Plate1,Plate1_A9,medium,Pot30,66745,11.1086346670898,2.38101444451719,0.650542459227175,-0.577570466446604,-0.0887894518741053,1.09041843644943,-0.285663472367861,0.253323219673318,0.0111059850255274,-0.068328179385576,-0.00384004876018281,0.0793470861519184,0.215821411705126,-0.044769306047144
Plot3,Plate1,B1,b,1,R37,high-1,Col-0,Root,P75Plate1,Plate1_B1,high,Pot37,120856,11.7023550332236,-1.58666745006293,1.27632681661472,-0.0190770166682386,0.515992379894899,-0.830459600125594,-1.16847236915138,-0.0568804595755499,-0.569155600276979,-0.288246240948695,0.114527495026636,-0.0264942120193871,0.107556485206908,0.0528385192035207
Plot3,Plate1,B12,b,12,R49,high-1,phf1,Root,P51Plate1,Plate1_B12,high,Pot49,58191,10.9714859825864,-1.58666745006293,1.27632681661472,-0.0190770166682386,0.515992379894899,-0.830459600125594,-1.16847236915138,-0.0568804595755499,-0.569155600276979,-0.288246240948695,0.114527495026636,-0.0264942120193871,0.107556485206908,0.0528385192035207
Plot10,Plate1,B2,b,2,R4,low-4,Col-0,Root,P31Plate1,Plate1_B2,low,Pot4,73242,11.2015243058979,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot15,Plate1,B3,b,3,R53,high-5,phf1,Root,P8Plate1,Plate1_B3,high,Pot53,48315,10.7854973504334,5.96266901334953,0.14190029367594,0.0526767732472614,-0.661793850256411,-0.708226697398913,-1.18128188725226,0.09814806741803,0.542116316244908,-0.0995113952996787,0.171181083606662,0.0926205048396377,-0.0852334934751272,0.0450084905358562
Plot6,Plate1,B4,b,4,R38,high-2,Col-0,Root,P17Plate1,Plate1_B4,high,Pot38,53661,10.8904417596614,-2.00071233078859,2.93602203745919,-0.205496195746276,0.25874933527023,0.167083223810211,0.0163232466012433,0.543323744622988,0.467227856532411,0.0735729445516059,0.182027422945114,-0.125240756919584,-0.114134006275084,-0.102502290619919
Plot17,Plate1,B6,b,6,R24,medium-6,Col-0,Root,P5Plate1,Plate1_B6,medium,Pot24,49108,10.8017772333007,2.38101444451719,0.650542459227175,-0.577570466446604,-0.0887894518741053,1.09041843644943,-0.285663472367861,0.253323219673318,0.0111059850255274,-0.068328179385576,-0.00384004876018281,0.0793470861519184,0.215821411705126,-0.044769306047144
Plot13,Plate1,B8,b,8,R11,low-5,phr1/phl1,Root,P36Plate1,Plate1_B8,low,Pot11,25865,10.1606459824376,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot4,Plate1,B9,b,9,R14,low-2,phf1,Root,P7Plate1,Plate1_B9,low,Pot14,68841,11.1395547766581,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot18,Plate1,C10,c,10,R42,high-6,Col-0,Root,P74Plate1,Plate1_C10,high,Pot42,72425,11.1903068226376,1.00848648278335,-1.61473532989853,-0.662944343316463,0.435630561441076,-0.145632477515551,-1.06609236393344,0.0979064394350566,-0.0574542512340505,-0.210040821701978,-0.39641496000487,-0.0433977401787117,-0.00222373317807089,-0.136149027233048
Plot6,Plate1,C11,c,11,R44,high-2,phr1/phl1,Root,P43Plate1,Plate1_C11,high,Pot44,48252,10.7841925566853,-2.00071233078859,2.93602203745919,-0.205496195746276,0.25874933527023,0.167083223810211,0.0163232466012433,0.543323744622988,0.467227856532411,0.0735729445516059,0.182027422945114,-0.125240756919584,-0.114134006275084,-0.102502290619919
Plot2,Plate1,C12,c,12,R19,medium-1,Col-0,Root,P14Plate1,Plate1_C12,medium,Pot19,61669,11.0295366525144,-3.20998535422866,-0.823670892725562,2.43362718825805,-1.78032818380912,0.554067053129652,-0.936203703523346,-0.19819232547185,0.108012357376847,0.0969869613859183,-0.0274589851448343,-0.172253318257022,-0.0196605279651497,-0.0187877857678579
Plot14,Plate1,C2,c,2,R29,medium-5,phr1/phl1,Root,P23Plate1,Plate1_C2,medium,Pot29,59857,10.9997136632113,6.27167112067824,0.0351468758500942,1.95271971413406,1.19796596518715,-0.840120963366867,0.302611527173171,-0.512091059700921,-0.07630241388215,0.18620122626002,-0.0348680223090653,-0.128936632035969,-0.0695731055010789,0.0130471223205808
Plot1,Plate1,C3,c,3,R1,low-1,Col-0,Root,P32Plate1,Plate1_C3,low,Pot1,62549,11.043705528557,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot17,Plate1,C4,c,4,R36,medium-6,phf1,Root,P30Plate1,Plate1_C4,medium,Pot36,67136,11.114475691756,2.38101444451719,0.650542459227175,-0.577570466446604,-0.0887894518741053,1.09041843644943,-0.285663472367861,0.253323219673318,0.0111059850255274,-0.068328179385576,-0.00384004876018281,0.0793470861519184,0.215821411705126,-0.044769306047144
Plot4,Plate1,C9,c,9,R2,low-2,Col-0,Root,P39Plate1,Plate1_C9,low,Pot2,63808,11.0636338533215,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot5,Plate1,D11,d,11,R26,medium-2,phr1/phl1,Root,P82Plate1,Plate1_D11,medium,Pot26,48231,10.7837572468311,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot16,Plate1,D2,d,2,R6,low-6,Col-0,Root,P25Plate1,Plate1_D2,low,Pot6,62026,11.0353089309613,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot18,Plate1,D3,d,3,R54,high-6,phf1,Root,P85Plate1,Plate1_D3,high,Pot54,67137,11.1144905867833,1.00848648278335,-1.61473532989853,-0.662944343316463,0.435630561441076,-0.145632477515551,-1.06609236393344,0.0979064394350566,-0.0574542512340505,-0.210040821701978,-0.39641496000487,-0.0433977401787117,-0.00222373317807089,-0.136149027233048
Plot15,Plate1,D5,d,5,R47,high-5,phr1/phl1,Root,P66Plate1,Plate1_D5,high,Pot47,48374,10.7867177582838,5.96266901334953,0.14190029367594,0.0526767732472614,-0.661793850256411,-0.708226697398913,-1.18128188725226,0.09814806741803,0.542116316244908,-0.0995113952996787,0.171181083606662,0.0926205048396377,-0.0852334934751272,0.0450084905358562
Plot8,Plate1,D6,d,6,R33,medium-3,phf1,Root,P78Plate1,Plate1_D6,medium,Pot33,64879,11.0802792756002,-1.93271209884418,0.243933406307011,-0.0157591261547439,1.24203594138743,-0.365499548353582,-0.0870780345974018,0.137845018538231,0.281679093773818,0.378282114007509,0.033769215865233,-0.0210125592437876,0.0441966660214481,-0.024330452064157
Plot2,Plate1,E10,e,10,R25,medium-1,phr1/phl1,Root,P34Plate1,Plate1_E10,medium,Pot25,63277,11.0552771929739,-3.20998535422866,-0.823670892725562,2.43362718825805,-1.78032818380912,0.554067053129652,-0.936203703523346,-0.19819232547185,0.108012357376847,0.0969869613859183,-0.0274589851448343,-0.172253318257022,-0.0196605279651497,-0.0187877857678579
Plot11,Plate1,E3,e,3,R28,medium-4,phr1/phl1,Root,P59Plate1,Plate1_E3,medium,Pot28,39302,10.5790306871477,-1.88565971491648,-2.1383408922022,-0.934354744367669,-0.52867756563628,-0.73986981741134,-0.108262839727291,0.61297230399063,0.137032447721782,0.392182153689771,-0.124654931683718,0.1655203720937,0.00770919662223793,0.145498552707668
Plot5,Plate1,E4,e,4,R26,medium-2,phr1/phl1,Root,P56Plate1,Plate1_E4,medium,Pot26,40352,10.6053962387646,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot4,Plate1,E6,e,6,R62,low+Pi-2,phr1/phl1,Root,P63Plate1,Plate1_E6,low+Pi,Pot62,41978,10.6449009505056,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot4,Plate1,F3,f,3,R56,low+Pi-2,Col-0,Root,P64Plate1,Plate1_F3,low+Pi,Pot56,64914,11.0808185959156,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot16,Plate1,G1,g,1,R18,low-6,phf1,Root,P81Plate1,Plate1_G1,low,Pot18,67344,11.1175690910104,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot11,Plate1,G11,g,11,R34,medium-4,phf1,Root,P72Plate1,Plate1_G11,medium,Pot34,55016,10.9153793309997,-1.88565971491648,-2.1383408922022,-0.934354744367669,-0.52867756563628,-0.73986981741134,-0.108262839727291,0.61297230399063,0.137032447721782,0.392182153689771,-0.124654931683718,0.1655203720937,0.00770919662223793,0.145498552707668
Plot13,Plate1,G12,g,12,R17,low-5,phf1,Root,P45Plate1,Plate1_G12,low,Pot17,67035,11.1129701500357,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot7,Plate1,G3,g,3,R9,low-3,phr1/phl1,Root,P1Plate1,Plate1_G3,low,Pot9,57714,10.9632550573807,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot10,Plate1,G5,g,5,R10,low-4,phr1/phl1,Root,P53Plate1,Plate1_G5,low,Pot10,66427,11.1038588793204,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot4,Plate1,H1,h,1,R8,low-2,phr1/phl1,Root,P35Plate1,Plate1_H1,low,Pot8,66063,11.0983641111743,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot13,Plate1,H3,h,3,R71,low+Pi-5,phf1,Root,P26Plate1,Plate1_H3,low+Pi,Pot71,76561,11.2458430876925,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot5,Plate1,H7,h,7,R20,medium-2,Col-0,Root,P37Plate1,Plate1_H7,medium,Pot20,62514,11.0431458106402,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot2,Plate2,A1,a,1,R31,medium-1,phf1,Root,P4Plate2,Plate2_A1,medium,Pot31,53714,10.8914289541536,-3.20998535422866,-0.823670892725562,2.43362718825805,-1.78032818380912,0.554067053129652,-0.936203703523346,-0.19819232547185,0.108012357376847,0.0969869613859183,-0.0274589851448343,-0.172253318257022,-0.0196605279651497,-0.0187877857678579
Plot7,Plate2,A10,a,10,R69,low+Pi-3,phf1,Root,P83Plate2,Plate2_A10,low+Pi,Pot69,58475,10.9763545914524,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot1,Plate2,A4,a,4,R13,low-1,phf1,Root,P60Plate2,Plate2_A4,low,Pot13,36455,10.5038339022405,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot14,Plate2,B1,b,1,R23,medium-5,Col-0,Root,P75Plate2,Plate2_B1,medium,Pot23,94729,11.4587754624959,6.27167112067824,0.0351468758500942,1.95271971413406,1.19796596518715,-0.840120963366867,0.302611527173171,-0.512091059700921,-0.07630241388215,0.18620122626002,-0.0348680223090653,-0.128936632035969,-0.0695731055010789,0.0130471223205808
Plot7,Plate2,B5,b,5,R69,low+Pi-3,phf1,Root,P40Plate2,Plate2_B5,low+Pi,Pot69,55583,10.9256326780903,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot9,Plate2,B7,b,7,R39,high-3,Col-0,Root,P92Plate2,Plate2_B7,high,Pot39,43406,10.6783529593809,-1.4061116410905,0.197565583064527,-0.575811278741985,0.414710059255699,-0.137021658138417,0.143012405959008,-0.326861104458524,0.143363059016123,-0.122572950575795,-0.024784957288367,0.0177847724069802,-0.0396687031968231,0.0296419253133904
Plot12,Plate2,C1,c,1,R40,high-4,Col-0,Root,P38Plate2,Plate2_C1,high,Pot40,59720,10.9974222516531,-1.46673361103121,1.10595662222182,-0.460514059588196,0.461857898216085,0.12070988676899,0.340846358494098,0.243042011176114,0.722240636782525,-0.26432541407376,-0.206936523501114,-0.166537973893495,0.0835000081251655,0.0749816473971228
Plot14,Plate2,C11,c,11,R35,medium-5,phf1,Root,P43Plate2,Plate2_C11,medium,Pot35,42556,10.6585761346363,6.27167112067824,0.0351468758500942,1.95271971413406,1.19796596518715,-0.840120963366867,0.302611527173171,-0.512091059700921,-0.07630241388215,0.18620122626002,-0.0348680223090653,-0.128936632035969,-0.0695731055010789,0.0130471223205808
Plot9,Plate2,C2,c,2,R51,high-3,phf1,Root,P23Plate2,Plate2_C2,high,Pot51,53950,10.8958129706863,-1.4061116410905,0.197565583064527,-0.575811278741985,0.414710059255699,-0.137021658138417,0.143012405959008,-0.326861104458524,0.143363059016123,-0.122572950575795,-0.024784957288367,0.0177847724069802,-0.0396687031968231,0.0296419253133904
Plot6,Plate2,C4,c,4,R50,high-2,phf1,Root,P30Plate2,Plate2_C4,high,Pot50,57269,10.9555147440865,-2.00071233078859,2.93602203745919,-0.205496195746276,0.25874933527023,0.167083223810211,0.0163232466012433,0.543323744622988,0.467227856532411,0.0735729445516059,0.182027422945114,-0.125240756919584,-0.114134006275084,-0.102502290619919
Plot9,Plate2,D10,d,10,R45,high-3,phr1/phl1,Root,P18Plate2,Plate2_D10,high,Pot45,52228,10.8633740285279,-1.4061116410905,0.197565583064527,-0.575811278741985,0.414710059255699,-0.137021658138417,0.143012405959008,-0.326861104458524,0.143363059016123,-0.122572950575795,-0.024784957288367,0.0177847724069802,-0.0396687031968231,0.0296419253133904
Plot8,Plate2,D2,d,2,R27,medium-3,phr1/phl1,Root,P25Plate2,Plate2_D2,medium,Pot27,54601,10.9078074765836,-1.93271209884418,0.243933406307011,-0.0157591261547439,1.24203594138743,-0.365499548353582,-0.0870780345974018,0.137845018538231,0.281679093773818,0.378282114007509,0.033769215865233,-0.0210125592437876,0.0441966660214481,-0.024330452064157
Plot12,Plate2,D8,d,8,R46,high-4,phr1/phl1,Root,P58Plate2,Plate2_D8,high,Pot46,38986,10.5709578863061,-1.46673361103121,1.10595662222182,-0.460514059588196,0.461857898216085,0.12070988676899,0.340846358494098,0.243042011176114,0.722240636782525,-0.26432541407376,-0.206936523501114,-0.166537973893495,0.0835000081251655,0.0749816473971228
Plot1,Plate2,E12,e,12,R55,low+Pi-1,Col-0,Root,P28Plate2,Plate2_E12,low+Pi,Pot55,50023,10.8202381786427,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot7,Plate2,E7,e,7,R57,low+Pi-3,Col-0,Root,P67Plate2,Plate2_E7,low+Pi,Pot57,43316,10.6762773607483,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot10,Plate2,F10,f,10,R64,low+Pi-4,phr1/phl1,Root,P19Plate2,Plate2_F10,low+Pi,Pot64,24640,10.1121264176475,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot1,Plate2,F11,f,11,R7,low-1,phr1/phl1,Root,P48Plate2,Plate2_F11,low,Pot7,52551,10.8695394056198,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot10,Plate2,F7,f,7,R58,low+Pi-4,Col-0,Root,P46Plate2,Plate2_F7,low+Pi,Pot58,45149,10.7177234102056,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot16,Plate2,G12,g,12,R66,low+Pi-6,phr1/phl1,Root,P45Plate2,Plate2_G12,low+Pi,Pot66,53634,10.8899384743159,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot13,Plate2,G3,g,3,R5,low-5,Col-0,Root,P1Plate2,Plate2_G3,low,Pot5,40363,10.6056688027259,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot5,Plate2,H1,h,1,R32,medium-2,phf1,Root,P35Plate2,Plate2_H1,medium,Pot32,51567,10.8506372119963,-2.28171192045609,1.63944494237483,-0.182814225289019,-0.369384112143889,-0.773111678665635,0.163149681523683,-0.00572421694707064,-0.157425407863019,-0.0346669965233882,0.175606169198439,0.186995411362103,0.115276220318012,-0.0736208747475848
Plot16,Plate2,H5,h,5,R72,low+Pi-6,phf1,Root,P10Plate2,Plate2_H5,low+Pi,Pot72,46257,10.7419680828395,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot13,Plate2,H6,h,6,R65,low+Pi-5,phr1/phl1,Root,P91Plate2,Plate2_H6,low+Pi,Pot65,49385,10.8074020133422,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot7,Plate3,A2,a,2,R15,low-3,phf1,Root,P16Plate3,Plate3_A2,low,Pot15,57696,10.962943126003,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot8,Plate3,A3,a,3,R21,medium-3,Col-0,Root,P87Plate3,Plate3_A3,medium,Pot21,55106,10.9170138821346,-1.93271209884418,0.243933406307011,-0.0157591261547439,1.24203594138743,-0.365499548353582,-0.0870780345974018,0.137845018538231,0.281679093773818,0.378282114007509,0.033769215865233,-0.0210125592437876,0.0441966660214481,-0.024330452064157
Plot1,Plate3,C1,c,1,R67,low+Pi-1,phf1,Root,P38Plate3,Plate3_C1,low+Pi,Pot67,36423,10.5029557222121,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot3,Plate3,E2,e,2,R43,high-1,phr1/phl1,Root,P69Plate3,Plate3_E2,high,Pot43,9036,9.10897187758789,-1.58666745006293,1.27632681661472,-0.0190770166682386,0.515992379894899,-0.830459600125594,-1.16847236915138,-0.0568804595755499,-0.569155600276979,-0.288246240948695,0.114527495026636,-0.0264942120193871,0.107556485206908,0.0528385192035207
Plot7,Plate3,E3,e,3,R3,low-3,Col-0,Root,P59Plate3,Plate3_E3,low,Pot3,37922,10.5432866975941,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot16,Plate3,F1,f,1,R60,low+Pi-6,Col-0,Root,P6Plate3,Plate3_F1,low+Pi,Pot60,50307,10.8258995114152,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot12,Plate3,G2,g,2,R52,high-4,phf1,Root,P33Plate3,Plate3_G2,high,Pot52,23082,10.0468083719804,-1.46673361103121,1.10595662222182,-0.460514059588196,0.461857898216085,0.12070988676899,0.340846358494098,0.243042011176114,0.722240636782525,-0.26432541407376,-0.206936523501114,-0.166537973893495,0.0835000081251655,0.0749816473971228
Plot18,Plate3,G4,g,4,R48,high-6,phr1/phl1,Root,P11Plate3,Plate3_G4,high,Pot48,48044,10.7798725366744,1.00848648278335,-1.61473532989853,-0.662944343316463,0.435630561441076,-0.145632477515551,-1.06609236393344,0.0979064394350566,-0.0574542512340505,-0.210040821701978,-0.39641496000487,-0.0433977401787117,-0.00222373317807089,-0.136149027233048
Plot16,Plate3,H2,h,2,R12,low-6,phr1/phl1,Root,P77Plate3,Plate3_H2,low,Pot12,55563,10.9252727910909,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
