Plate1PhosphateB6,Plate1PhosphateE11,Plate1PhosphateF3,Plate2PhosphateA3,Plate2PhosphateD1,Plate3PhosphateA1,Plate1PhosphateD4,Plate1PhosphateF1,Plate1PhosphateF10,Plate2PhosphateC3,Plate2PhosphateD7,Plate2PhosphateH4,Plate1PhosphateA6,Plate1PhosphateC8,Plate1PhosphateD10,Plate2PhosphateB1,Plate2PhosphateB10,Plate2PhosphateD6,Plate1PhosphateB2,Plate1PhosphateB8,Plate1PhosphateE7,Plate2PhosphateA7,Plate2PhosphateB8,Plate2PhosphateH11,Plate1PhosphateH3,Plate2PhosphateC5,Plate2PhosphateF3,Plate2PhosphateG8,Plate3PhosphateE1,Plate3PhosphateF1,Plate1PhosphateB7,Plate1PhosphateC9,Plate1PhosphateE3,Plate2PhosphateB4,Plate2PhosphateD11,Plate2PhosphateE9,Plate2PhosphateG9
Plate1PhosphateB6,0,0.243319607761011,0.165027813122561,0.0805787100652531,0.23418086353031,0.192082248853948,0.153604920945789,0.183821701911626,0.188894474720204,0.225738579406508,0.141663199600292,0.226414574096042,0.263335881689938,0.290696273111468,0.194699051167875,0.30218659538732,0.212759908021487,0.228669527334824,0.280878395383434,0.197582661444974,0.269292242591583,0.248689985101257,0.221181068411347,0.283365379556458,0.28879899771927,0.309574612895752,0.24899514655414,0.260289101531806,0.330126180002165,0.305864362040213,0.234165464610874,0.348731996172792,0.264681184170626,0.244672295498502,0.209563099205744,0.235713884263342,0.306675709830114
Plate1PhosphateE11,0.243319607761011,0,0.182984835781334,0.244569491294946,0.275494113548133,0.157746750354775,0.23460723359052,0.187964983659404,0.153508158470725,0.134730236113935,0.252651709360928,0.19691864459679,0.216216324789802,0.18082379365544,0.221077915140703,0.197426993384183,0.238765636171005,0.208416891790387,0.174607494305411,0.18400302369315,0.224214128984855,0.186283771839066,0.175306708541346,0.217222221729505,0.246680178367556,0.204706207603299,0.257964989872879,0.225627193908733,0.238669333604243,0.265954099778367,0.204170318462852,0.330647570212458,0.235615443785936,0.206840977262996,0.217457951790788,0.237838026415462,0.263579812048714
Plate1PhosphateF3,0.165027813122561,0.182984835781334,0,0.151066146334347,0.265172462584124,0.118236146565732,0.185424299764135,0.215189967717065,0.116970154156968,0.144670866912728,0.192138505196423,0.156588175372927,0.250259807001156,0.254391010714251,0.22755745953074,0.283868808310909,0.247376141705494,0.21912038209574,0.224747663398486,0.181555174048919,0.256421255270801,0.238435364537002,0.209766415402469,0.281972219763559,0.265873720686933,0.275210948775544,0.261281032079068,0.231105231188663,0.293667979302907,0.306298511555522,0.222897626990266,0.338637561658143,0.260050474747037,0.246281874348976,0.210615795831965,0.23564048877274,0.296245510068043
Plate2PhosphateA3,0.0805787100652531,0.244569491294946,0.151066146334347,0,0.220958422641603,0.184008557813119,0.138332557729907,0.182031757468415,0.167465319733158,0.212379492030981,0.116247318509493,0.205207907741413,0.216443831439896,0.267550061703726,0.161427437358183,0.283298808538782,0.18097032788148,0.221224367669421,0.25154719396901,0.187292489913894,0.241260617565316,0.211890961739252,0.191205316716038,0.240896604965923,0.252226439080296,0.289554661162336,0.20097630382998,0.221487543335823,0.29711855648475,0.285489720622466,0.190649779436078,0.313646791834264,0.225749314018782,0.215152917328296,0.166674008068144,0.189448246767173,0.268426563577381
Plate2PhosphateD1,0.23418086353031,0.275494113548133,0.265172462584124,0.220958422641603,0,0.238521991285582,0.270159971466704,0.247905060772636,0.259365688063635,0.29951118707877,0.229714659385744,0.293041128004193,0.301065723716154,0.312495908143753,0.29444794419574,0.21074967881319,0.297814670387036,0.338128509148088,0.310116459951011,0.293338766899072,0.273890893640098,0.29896441688441,0.260767696785484,0.284593699915252,0.316144481079751,0.349064725119283,0.309358529527681,0.276401547549697,0.372578787460547,0.384778639376494,0.277575179197276,0.374851795704556,0.344742034009832,0.32369992856364,0.276070557576404,0.299813207507703,0.36575345960091
Plate3PhosphateA1,0.192082248853948,0.157746750354775,0.118236146565732,0.184008557813119,0.238521991285582,0,0.182004632825595,0.204675613529892,0.117141041564117,0.134867689106485,0.20558445883288,0.150532791893486,0.238082849199949,0.244333844568844,0.228559855970031,0.259547054726181,0.24643662136552,0.223349279561755,0.215998217011974,0.201167938009062,0.237081497448802,0.237417731028769,0.197029673098101,0.266928631498833,0.258830765871342,0.275779529773654,0.267272698562761,0.233182903235872,0.294237452431337,0.3189360703732,0.234906512538326,0.328441663312771,0.278500370940282,0.256481090071364,0.219305455613967,0.255615705786549,0.304151239430207
Plate1PhosphateD4,0.153604920945789,0.23460723359052,0.185424299764135,0.138332557729907,0.270159971466704,0.182004632825595,0,0.139118010544039,0.135578878075489,0.182946709601876,0.142805582246196,0.15762291189382,0.17532266632848,0.219905377426345,0.113693330433519,0.240683157093718,0.14100561192747,0.170692998154614,0.231628274777501,0.155115165374469,0.224444529909469,0.190914633021126,0.168704305785846,0.197673561614329,0.217099539348067,0.2513255709319,0.192931663201282,0.192646104698107,0.259691713731194,0.230239238748242,0.189544005686368,0.264431827308168,0.195623392398967,0.183172997096979,0.148515320229478,0.190059866268589,0.236954650083616
Plate1PhosphateF1,0.183821701911626,0.187964983659404,0.215189967717065,0.182031757468415,0.247905060772636,0.204675613529892,0.139118010544039,0,0.155881043545234,0.218041952076917,0.109486298871305,0.180518492200027,0.153404016832304,0.173935523648922,0.166888234650593,0.224368332706543,0.14645445103192,0.223929965540898,0.216556343757858,0.181653717222125,0.211659072329112,0.182688209311041,0.151329013651966,0.135914876536047,0.183816844627598,0.218605645865556,0.15064034125542,0.154295101402482,0.196825700907704,0.218279590375318,0.162694651209606,0.291892710692265,0.222474125474397,0.16550889627572,0.15418258719911,0.207126826438702,0.185019719848144
Plate1PhosphateF10,0.188894474720204,0.153508158470725,0.116970154156968,0.167465319733158,0.259365688063635,0.117141041564117,0.135578878075489,0.155881043545234,0,0.0881710390565997,0.17800007203442,0.0957865956323333,0.195629351522838,0.166892795980506,0.174129424328387,0.19997283992531,0.202080403883305,0.158567975538952,0.169743288213501,0.134518534285678,0.228315539055441,0.161592889179077,0.160285789882852,0.209161570188442,0.221933980109786,0.213272532203023,0.210320175495867,0.184011831375002,0.21977261472972,0.244892536750716,0.185882833719663,0.281249829808473,0.199705364339157,0.190454370001544,0.169682289591868,0.192796624938876,0.214669484831487
Plate2PhosphateC3,0.225738579406508,0.134730236113935,0.144670866912728,0.212379492030981,0.29951118707877,0.134867689106485,0.182946709601876,0.218041952076917,0.0881710390565997,0,0.226203049049795,0.133188441325745,0.200654108523936,0.19223025506653,0.204282154359295,0.223653139841305,0.233172161137055,0.172043596503342,0.163004103047153,0.148292825353211,0.226909541859421,0.19510628405541,0.188456168985698,0.228585976298607,0.230753079719385,0.212919605924382,0.236454276824842,0.213144747786882,0.225071064353958,0.267258519406855,0.208214966834256,0.280198050348371,0.22606817058732,0.212557331080423,0.19182285132194,0.210628319457888,0.243240796591108
Plate2PhosphateD7,0.141663199600292,0.252651709360928,0.192138505196423,0.116247318509493,0.229714659385744,0.20558445883288,0.142805582246196,0.109486298871305,0.17800007203442,0.226203049049795,0,0.186254816674433,0.166632579776549,0.215946440751369,0.176186023602041,0.251683190485674,0.158828574071723,0.254063748842431,0.254151891804058,0.219881856177525,0.234425128773042,0.224231480896164,0.174155591151652,0.184400574566391,0.203856522957985,0.250288428275662,0.165353839419611,0.166867695805637,0.240306411086089,0.261916992442169,0.192848113609254,0.293246310560421,0.253639745911158,0.2013234971589,0.158834911332787,0.214543046141506,0.226506111416606
Plate2PhosphateH4,0.226414574096042,0.19691864459679,0.156588175372927,0.205207907741413,0.293041128004193,0.150532791893486,0.15762291189382,0.180518492200027,0.0957865956323333,0.133188441325745,0.186254816674433,0,0.208580132249705,0.144682690417833,0.216479576866163,0.198013203743601,0.22453856167981,0.167496098538081,0.222961436998993,0.185076964629929,0.275530324425622,0.191568110406126,0.199471329090576,0.218378981956914,0.235838175469232,0.195451777937114,0.234853430941074,0.199391427160721,0.226173863480427,0.251124396019502,0.2366100032466,0.300643855992309,0.250087865511415,0.222830639562766,0.208758633574756,0.2408277253206,0.229044009756893
Plate1PhosphateA6,0.263335881689938,0.216216324789802,0.250259807001156,0.216443831439896,0.301065723716154,0.238082849199949,0.17532266632848,0.153404016832304,0.195629351522838,0.200654108523936,0.166632579776549,0.208580132249705,0,0.146053570562519,0.114126315089947,0.242950965149291,0.0976735355790783,0.190609654511556,0.160140107938779,0.184176610457675,0.131014213034216,0.161045238576974,0.109879062404493,0.0996526068180765,0.107738141487951,0.148220948733473,0.121275677009438,0.122179029914555,0.141338125690357,0.18845745288464,0.10598864160401,0.187980728929466,0.156770909858083,0.119159391233542,0.111675143250014,0.130417129675096,0.154119376572385
Plate1PhosphateC8,0.290696273111468,0.18082379365544,0.254391010714251,0.267550061703726,0.312495908143753,0.244333844568844,0.219905377426345,0.173935523648922,0.166892795980506,0.19223025506653,0.215946440751369,0.144682690417833,0.146053570562519,0,0.203525233414748,0.164870387252436,0.194366606811402,0.155115202795312,0.149112436648129,0.16412590769981,0.211405598239318,0.123088435070645,0.180003119708879,0.145130064396386,0.181176373562455,0.130439163645539,0.205738202529489,0.181623481714517,0.151865296339493,0.182227193671087,0.200673766483272,0.274604822490733,0.191041475151479,0.146354608834349,0.210659880520818,0.218258658132076,0.17701724424743
Plate1PhosphateD10,0.194699051167875,0.221077915140703,0.22755745953074,0.161427437358183,0.29444794419574,0.228559855970031,0.113693330433519,0.166888234650593,0.174129424328387,0.204282154359295,0.176186023602041,0.216479576866163,0.114126315089947,0.203525233414748,0,0.249043752990777,0.0765161735505606,0.163416964674429,0.195451013787268,0.146702761970615,0.163108588768805,0.158397322219056,0.13289921502679,0.158045569352267,0.149585390076779,0.190667978190718,0.108930294951744,0.154070207324815,0.195884200984396,0.173107014801288,0.117245251147028,0.23638663178752,0.11732296065565,0.117136918938428,0.0844302066385227,0.108550512293042,0.170865344159486
Plate2PhosphateB1,0.30218659538732,0.197426993384183,0.283868808310909,0.283298808538782,0.21074967881319,0.259547054726181,0.240683157093718,0.224368332706543,0.19997283992531,0.223653139841305,0.251683190485674,0.198013203743601,0.242950965149291,0.164870387252436,0.249043752990777,0,0.274677473793842,0.22599158192264,0.239458994783044,0.211011558358428,0.245352351303233,0.197380765429846,0.212887088829293,0.213852530664878,0.260649244938269,0.209603140312009,0.271198273185588,0.222295794180913,0.245808760004564,0.264361454494714,0.260523428653129,0.336085621029753,0.258533326471111,0.237796321845239,0.236102307139439,0.276740802195348,0.249423894197374
Plate2PhosphateB10,0.212759908021487,0.238765636171005,0.247376141705494,0.18097032788148,0.297814670387036,0.24643662136552,0.14100561192747,0.14645445103192,0.202080403883305,0.233172161137055,0.158828574071723,0.22453856167981,0.0976735355790783,0.194366606811402,0.0765161735505606,0.274677473793842,0,0.173723748088915,0.21897088087568,0.175955904340439,0.194777522997057,0.173852920700073,0.162456787148651,0.15096687979305,0.13262643412831,0.192478385811799,0.101278276552353,0.150470141142245,0.18041641062465,0.153783918151959,0.119903384713378,0.243559986311923,0.139366571474357,0.102961217469254,0.0980835420926962,0.101213173120991,0.158772019581027
Plate2PhosphateD6,0.228669527334824,0.208416891790387,0.21912038209574,0.221224367669421,0.338128509148088,0.223349279561755,0.170692998154614,0.223929965540898,0.158567975538952,0.172043596503342,0.254063748842431,0.167496098538081,0.190609654511556,0.155115202795312,0.163416964674429,0.22599158192264,0.173723748088915,0,0.142738893923866,0.119340868094476,0.243023322473847,0.132458217523067,0.203673381691058,0.235572348401089,0.248341425017366,0.165475175939922,0.233239605557406,0.255674439948705,0.199017156230482,0.16088240489037,0.185789219016756,0.301937081215534,0.142587115133748,0.159042954960363,0.204051729550447,0.185673313926102,0.192903544559677
Plate1PhosphateB2,0.280878395383434,0.174607494305411,0.224747663398486,0.25154719396901,0.310116459951011,0.215998217011974,0.231628274777501,0.216556343757858,0.169743288213501,0.163004103047153,0.254151891804058,0.222961436998993,0.160140107938779,0.149112436648129,0.195451013787268,0.239458994783044,0.21897088087568,0.142738893923866,0,0.135894295730245,0.197149378062609,0.120018498305948,0.158358751945536,0.190840647516901,0.213611679961802,0.154539706413454,0.232124615082508,0.220371206882745,0.164964769463934,0.209701926492168,0.176259380641502,0.261706240730152,0.169408281052548,0.1585267051553,0.204954625425582,0.207122548497699,0.197952278079276
Plate1PhosphateB8,0.197582661444974,0.18400302369315,0.181555174048919,0.187292489913894,0.293338766899072,0.201167938009062,0.155115165374469,0.181653717222125,0.134518534285678,0.148292825353211,0.219881856177525,0.185076964629929,0.184176610457675,0.16412590769981,0.146702761970615,0.211011558358428,0.175955904340439,0.119340868094476,0.135894295730245,0,0.183554669964773,0.116561673957646,0.153301936782111,0.196974715166725,0.227948273514373,0.175657264354255,0.198095941729838,0.206142403717179,0.179402496801029,0.186262586553685,0.154933889964112,0.282287151027862,0.14241501352711,0.136894887660684,0.157566814866879,0.157036563120348,0.179877648506465
Plate1PhosphateE7,0.269292242591583,0.224214128984855,0.256421255270801,0.241260617565316,0.273890893640098,0.237081497448802,0.224444529909469,0.211659072329112,0.228315539055441,0.226909541859421,0.234425128773042,0.275530324425622,0.131014213034216,0.211405598239318,0.163108588768805,0.245352351303233,0.194777522997057,0.243023322473847,0.197149378062609,0.183554669964773,0,0.198508755037098,0.0935101155796156,0.14553618836186,0.163934261351286,0.206662783006062,0.191669888697589,0.150097536101284,0.223600917347816,0.267520050091158,0.142954328559174,0.256560395788549,0.217768532677677,0.201298388709859,0.137169464175236,0.171192987915182,0.249147906491546
Plate2PhosphateA7,0.248689985101257,0.186283771839066,0.238435364537002,0.211890961739252,0.29896441688441,0.237417731028769,0.190914633021126,0.182688209311041,0.161592889179077,0.19510628405541,0.224231480896164,0.191568110406126,0.161045238576974,0.123088435070645,0.158397322219056,0.197380765429846,0.173852920700073,0.132458217523067,0.120018498305948,0.116561673957646,0.198508755037098,0,0.158227021788558,0.170969321471343,0.209111803590595,0.145421829642259,0.185698493628108,0.2179761104709,0.158992174400563,0.167915653341795,0.134907171322101,0.266532014601382,0.144631427959693,0.12649640479777,0.16370327565003,0.152723767635912,0.159989033924341
Plate2PhosphateB8,0.221181068411347,0.175306708541346,0.209766415402469,0.191205316716038,0.260767696785484,0.197029673098101,0.168704305785846,0.151329013651966,0.160285789882852,0.188456168985698,0.174155591151652,0.199471329090576,0.109879062404493,0.180003119708879,0.13289921502679,0.212887088829293,0.162456787148651,0.203673381691058,0.158358751945536,0.153301936782111,0.0935101155796156,0.158227021788558,0,0.124099000423534,0.149682294040549,0.164765452817667,0.169902390848025,0.119221637815147,0.193680406874498,0.232658313784904,0.114604666448422,0.238080708026812,0.181245503805038,0.163675296656932,0.110036740612247,0.146471749120756,0.204001480613172
Plate2PhosphateH11,0.283365379556458,0.217222221729505,0.281972219763559,0.240896604965923,0.284593699915252,0.266928631498833,0.197673561614329,0.135914876536047,0.209161570188442,0.228585976298607,0.184400574566391,0.218378981956914,0.0996526068180765,0.145130064396386,0.158045569352267,0.213852530664878,0.15096687979305,0.235572348401089,0.190840647516901,0.196974715166725,0.14553618836186,0.170969321471343,0.124099000423534,0,0.12027362557934,0.190305063843814,0.135208771248345,0.128427521219131,0.187252493298486,0.229354776508176,0.14866451964855,0.234866324245801,0.209904315916074,0.161549533541169,0.155754228458398,0.178595718100329,0.165624066314872
Plate1PhosphateH3,0.28879899771927,0.246680178367556,0.265873720686933,0.252226439080296,0.316144481079751,0.258830765871342,0.217099539348067,0.183816844627598,0.221933980109786,0.230753079719385,0.203856522957985,0.235838175469232,0.107738141487951,0.181176373562455,0.149585390076779,0.260649244938269,0.13262643412831,0.248341425017366,0.213611679961802,0.227948273514373,0.163934261351286,0.209111803590595,0.149682294040549,0.12027362557934,0,0.174876153796275,0.0999367032531795,0.0815709798924934,0.174637181395223,0.212008834316112,0.154861856019898,0.236695001839501,0.1940578200151,0.154278748952087,0.12941491048994,0.14270612545611,0.150748305758191
Plate2PhosphateC5,0.309574612895752,0.204706207603299,0.275210948775544,0.289554661162336,0.349064725119283,0.275779529773654,0.2513255709319,0.218605645865556,0.213272532203023,0.212919605924382,0.250288428275662,0.195451777937114,0.148220948733473,0.130439163645539,0.190667978190718,0.209603140312009,0.192478385811799,0.165475175939922,0.154539706413454,0.175657264354255,0.206662783006062,0.145421829642259,0.164765452817667,0.190305063843814,0.174876153796275,0,0.196181804071708,0.177172981394853,0.109327671772054,0.134553272716253,0.178363943946389,0.243185014528871,0.1338276976482,0.131590656284761,0.171632489287474,0.179457187132382,0.152106355395987
Plate2PhosphateF3,0.24899514655414,0.257964989872879,0.261281032079068,0.20097630382998,0.309358529527681,0.267272698562761,0.192931663201282,0.15064034125542,0.210320175495867,0.236454276824842,0.165353839419611,0.234853430941074,0.121275677009438,0.205738202529489,0.108930294951744,0.271198273185588,0.101278276552353,0.233239605557406,0.232124615082508,0.198095941729838,0.191669888697589,0.185698493628108,0.169902390848025,0.135208771248345,0.0999367032531795,0.196181804071708,0,0.114576696400127,0.178568070272006,0.186660021756133,0.136271421593958,0.247890514418378,0.175923707624332,0.128065572059391,0.0955230488476476,0.124205147460961,0.112488382748337
Plate2PhosphateG8,0.260289101531806,0.225627193908733,0.231105231188663,0.221487543335823,0.276401547549697,0.233182903235872,0.192646104698107,0.154295101402482,0.184011831375002,0.213144747786882,0.166867695805637,0.199391427160721,0.122179029914555,0.181623481714517,0.154070207324815,0.222295794180913,0.150470141142245,0.255674439948705,0.220371206882745,0.206142403717179,0.150097536101284,0.2179761104709,0.119221637815147,0.128427521219131,0.0815709798924934,0.177172981394853,0.114576696400127,0,0.175419976493475,0.211016485490105,0.159617616675344,0.248341060606999,0.192364974280459,0.157985502098088,0.104988664865908,0.152698826072114,0.17594115753878
Plate3PhosphateE1,0.330126180002165,0.238669333604243,0.293667979302907,0.29711855648475,0.372578787460547,0.294237452431337,0.259691713731194,0.196825700907704,0.21977261472972,0.225071064353958,0.240306411086089,0.226173863480427,0.141338125690357,0.151865296339493,0.195884200984396,0.245808760004564,0.18041641062465,0.199017156230482,0.164964769463934,0.179402496801029,0.223600917347816,0.158992174400563,0.193680406874498,0.187252493298486,0.174637181395223,0.109327671772054,0.178568070272006,0.175419976493475,0,0.100442235411832,0.180530251095866,0.214529238648082,0.137148585809807,0.120868377560187,0.185147208034532,0.187485374985375,0.113238535421374
Plate3PhosphateF1,0.305864362040213,0.265954099778367,0.306298511555522,0.285489720622466,0.384778639376494,0.3189360703732,0.230239238748242,0.218279590375318,0.244892536750716,0.267258519406855,0.261916992442169,0.251124396019502,0.18845745288464,0.182227193671087,0.173107014801288,0.264361454494714,0.153783918151959,0.16088240489037,0.209701926492168,0.186262586553685,0.267520050091158,0.167915653341795,0.232658313784904,0.229354776508176,0.212008834316112,0.134553272716253,0.186660021756133,0.211016485490105,0.100442235411832,0,0.198474812427184,0.268222876472279,0.103987939655347,0.0977508994121947,0.189970126892505,0.17852763209632,0.134477699903107
Plate1PhosphateB7,0.234165464610874,0.204170318462852,0.222897626990266,0.190649779436078,0.277575179197276,0.234906512538326,0.189544005686368,0.162694651209606,0.185882833719663,0.208214966834256,0.192848113609254,0.2366100032466,0.10598864160401,0.200673766483272,0.117245251147028,0.260523428653129,0.119903384713378,0.185789219016756,0.176259380641502,0.154933889964112,0.142954328559174,0.134907171322101,0.114604666448422,0.14866451964855,0.154861856019898,0.178363943946389,0.136271421593958,0.159617616675344,0.180530251095866,0.198474812427184,0,0.207103336396427,0.143098148525665,0.133781530301767,0.102940701785635,0.0736920989520604,0.184964589300256
Plate1PhosphateC9,0.348731996172792,0.330647570212458,0.338637561658143,0.313646791834264,0.374851795704556,0.328441663312771,0.264431827308168,0.291892710692265,0.281249829808473,0.280198050348371,0.293246310560421,0.300643855992309,0.187980728929466,0.274604822490733,0.23638663178752,0.336085621029753,0.243559986311923,0.301937081215534,0.261706240730152,0.282287151027862,0.256560395788549,0.266532014601382,0.238080708026812,0.234866324245801,0.236695001839501,0.243185014528871,0.247890514418378,0.248341060606999,0.214529238648082,0.268222876472279,0.207103336396427,0,0.244466397644621,0.252241140278346,0.233703092178618,0.209709366792512,0.251801377935507
Plate1PhosphateE3,0.264681184170626,0.235615443785936,0.260050474747037,0.225749314018782,0.344742034009832,0.278500370940282,0.195623392398967,0.222474125474397,0.199705364339157,0.22606817058732,0.253639745911158,0.250087865511415,0.156770909858083,0.191041475151479,0.11732296065565,0.258533326471111,0.139366571474357,0.142587115133748,0.169408281052548,0.14241501352711,0.217768532677677,0.144631427959693,0.181245503805038,0.209904315916074,0.1940578200151,0.1338276976482,0.175923707624332,0.192364974280459,0.137148585809807,0.103987939655347,0.143098148525665,0.244466397644621,0,0.0978083900895297,0.13756811600511,0.127520176192743,0.121544631766622
Plate2PhosphateB4,0.244672295498502,0.206840977262996,0.246281874348976,0.215152917328296,0.32369992856364,0.256481090071364,0.183172997096979,0.16550889627572,0.190454370001544,0.212557331080423,0.2013234971589,0.222830639562766,0.119159391233542,0.146354608834349,0.117136918938428,0.237796321845239,0.102961217469254,0.159042954960363,0.1585267051553,0.136894887660684,0.201298388709859,0.12649640479777,0.163675296656932,0.161549533541169,0.154278748952087,0.131590656284761,0.128065572059391,0.157985502098088,0.120868377560187,0.0977508994121947,0.133781530301767,0.252241140278346,0.0978083900895297,0,0.123747310080545,0.123356883162394,0.118001109100524
Plate2PhosphateD11,0.209563099205744,0.217457951790788,0.210615795831965,0.166674008068144,0.276070557576404,0.219305455613967,0.148515320229478,0.15418258719911,0.169682289591868,0.19182285132194,0.158834911332787,0.208758633574756,0.111675143250014,0.210659880520818,0.0844302066385227,0.236102307139439,0.0980835420926962,0.204051729550447,0.204954625425582,0.157566814866879,0.137169464175236,0.16370327565003,0.110036740612247,0.155754228458398,0.12941491048994,0.171632489287474,0.0955230488476476,0.104988664865908,0.185147208034532,0.189970126892505,0.102940701785635,0.233703092178618,0.13756811600511,0.123747310080545,0,0.0867113684015093,0.162420482154638
Plate2PhosphateE9,0.235713884263342,0.237838026415462,0.23564048877274,0.189448246767173,0.299813207507703,0.255615705786549,0.190059866268589,0.207126826438702,0.192796624938876,0.210628319457888,0.214543046141506,0.2408277253206,0.130417129675096,0.218258658132076,0.108550512293042,0.276740802195348,0.101213173120991,0.185673313926102,0.207122548497699,0.157036563120348,0.171192987915182,0.152723767635912,0.146471749120756,0.178595718100329,0.14270612545611,0.179457187132382,0.124205147460961,0.152698826072114,0.187485374985375,0.17852763209632,0.0736920989520604,0.209709366792512,0.127520176192743,0.123356883162394,0.0867113684015093,0,0.177401988785179
Plate2PhosphateG9,0.306675709830114,0.263579812048714,0.296245510068043,0.268426563577381,0.36575345960091,0.304151239430207,0.236954650083616,0.185019719848144,0.214669484831487,0.243240796591108,0.226506111416606,0.229044009756893,0.154119376572385,0.17701724424743,0.170865344159486,0.249423894197374,0.158772019581027,0.192903544559677,0.197952278079276,0.179877648506465,0.249147906491546,0.159989033924341,0.204001480613172,0.165624066314872,0.150748305758191,0.152106355395987,0.112488382748337,0.17594115753878,0.113238535421374,0.134477699903107,0.184964589300256,0.251801377935507,0.121544631766622,0.118001109100524,0.162420482154638,0.177401988785179,0
